queue,priority,tags,subject,body
Customer Service,low,"Customer Service, Problem Resolution, Product Support, Technical Support",Needed Assistance for Persistent Paper Absorber Problems with Canon Printer,"Dear Customer Support, I am writing to report persistent paper jam problems with my Canon PIXMA MG3620 printer. The problem occurs during the printing of light checkout documentation. I have ensured that the paper is not overloaded and I also checked if there are visible obstructions. Despite these efforts, the problem persists. Could you please provide me with more assistance or suggest some additional troubleshooting steps? My printer's serial number is <acc_num>. Thank you for your prompt attention to this matter."
Billing and Payments,high,"Billing Issue, Customer Service, Payment Processing, Problem Resolution",Double settlement,"Hello Customer Service, I have noticed that I have been billed twice for my Adobe Photoshop 2024 subscription extension within the same billing period. Could you please help solve this problem? Thank you, <name>"
Product Support,low,"Customer Service, General Inquiry, Product Support, Technical Guidance",Kompatibilitätsanfrage,"Dear Customer Service, I recently bought a MacBook Air M1 in your store. I need to know if this model is compatible with my external wireless monitor setup. Please give me the necessary information as soon as possible. Thank you, <name>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Video Conferencing",Zoom Plant During Calls,"Dear customer support, I experience persistent Zoom plantings when initiating videoconferencing calls using version 5.11.0. This problem causes significant disruptions in our team meetings and workflow. I ask for a more in-depth investigation to resolve this problem quickly. Thank you. Thank you. Thank you, <name> <tel_num>"
Customer Service,medium,"Product Support, System Maintenance, Technical Guidance, Technical Support",Help needed for Scrum boards setup and reports in Jira,"Hello,

I need assistance with setting up Scrum boards and generating reports in Jira Software 8.20 for team management. Could you provide step-by-step guidance or documentation for these tasks?

Thank you,
<name>"
Technical Support,high,"Account Assistance, Problem Resolution, Software Bug, Technical Support",Signing error problem,We haven't been able to access the e-mail and Excel in the last week.
IT Support,medium,"IT Support, Performance Tuning, Problem Resolution, Technical Guidance",Assistance in optimising the costs of cloud infrastructure,"Dear IT Services Support Team, I am writing to request your assistance in optimizing our cloud infrastructure costs and enabling efficient cloud service management in our AWS account. We have analyzed our expenses and noted the need for better cost management. The product we are using is AWS Management Service. Could you provide guidance or resources to help us achieve this? We are looking forward to implementing strategies that improve our operational efficiency and reduce unnecessary costs. Thank you for your support. We look forward to your quick response."
Technical Support,low,"IT Support, Problem Resolution, Technical Guidance, Technical Support",Assistance Needed for Project,"Dear support team, I need help setting up realization diagrams for our planned project directory consolidation. Utilizing IT Consulting Service for this task. Thank you. Sincerely, <name>."
Billing and Payments,low,"Customer Service, Product Support, Technical Support, Warranty Claim",Questions about the guarantee,"Dear Tech Online Store Support Team, I have some questions about the extended warranty plan available for the Canon PIXMA MG3620 printer. Could you please provide detailed information about what is covered, the duration and the related costs? Thank you! Yours sincerely, <name>"
Technical Support,medium,"Hardware Failure, IT Support, Problem Resolution, Technical Support",Help with the problem with flickering the screen needed,"Dear IT Services Support, I have an inexplicable problem with flickering the screen on my Dell XPS 13 9310. Could you please help me troubleshoot this problem? Your support in solving this problem would be very helpful. Thank you, <name>"
Technical Support,high,"Product Support, Software Bug, Technical Support, Urgent Issue",Screen Problem,"Hello, I have a problem in which the screen of my Microsoft Surface Pro 7 no longer responds intermittently to touch. Could you please urgently provide steps to troubleshoot this problem? Thank you. Sincerely, <name>"
Technical Support,high,"Network Issue, Problem Resolution, Technical Support, Urgent Issue",Frequent Connectivity Drops with Cisco Router,Urgent troubleshooting requested for frequent router drops.
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Immediate Assistance Needed for Jira Software Access Issue,"Dear Customer Support, Users are unable to access project management features in Jira Software after the recent update. We urgently need your assistance to resolve this issue. We are using Jira Software version 8.20. Please address this matter as soon as possible to limit disruption. Thank you, <name>"
Product Support,high,"Feature Request, Problem Resolution, Product Support, Technical Support",Request to update Jira,"Dear Customer Support, I am writing to request an update to Jira Software version 8.20 to use the new Conflict integrations for improved project management. The additional features are crucial for increasing the productivity of our team. Thank you for your support. Sincerely, <name>"
Product Support,medium,"Feature Request, Problem Resolution, Product Support, Technical Support",PyCharm upgrade request,"Dear Support Team, I want to initiate a request to upgrade PyCharm version 2024.1 to version 2024.1. The latest version offers improved code analysis and debugging capabilities that are critical to my work. I appreciate your help in this case."
IT Support,medium,"IT Support, Problem Resolution, Product Support, Technical Support",Support to optimize infrastructure costs in the cloud,"Dear IT Services Support Team, I am writing to request your assistance with optimizing our cloud infrastructure costs and enabling efficient cloud service management in our AWS account. We have been analyzing our expenses and noting the need for better cost management. The product we are using is the AWS Management Service. Could you provide guidance or resources to help us achieve this? We are looking forward to implementing strategies that will improve our operational efficiency and reduce unnecessary costs. Thank you for your support. We look forward to your prompt response."
Technical Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent support required,"Dear customer service, My Microsoft Surface Pro 7 touch screen does not respond and the device plants frequently. I need immediate technical support to solve these problems. My name is <name>, the contact number is <tel_num>. Thank you. Thank you. Thank you, <name>."
Technical Support,high,"Database Issue, Service Disruption, Technical Support, Urgent Issue",Urgent: Database Corruption in MySQL 8.0.30,"Dear Support Team, 

We have encountered database corruption with MySQL 8.0.30, resulting in service disruptions and affecting our business operations significantly. Immediate assistance is required to resolve this issue. 

Kindly prioritize this matter. 

Best regards, 
<name>"
Technical Support,low,"Problem Resolution, Product Support, Technical Guidance, Technical Support",Setup Support Request,"Dear Customer Support,

I need help to set up my recent purchase of a Cisco Router ISR4331 for secure frequent connection monitoring. Please guide me through the process.

Thank you,
<name>"
Technical Support,high,"Hardware Failure, Network Issue, Problem Resolution, Technical Support",Printer cannot connect to Wi-Fi,The HP DeskJet 3755 cannot be connected.
Technical Support,high,"Network Issue, Problem Resolution, Technical Support, Urgent Issue",Frequent declines in connectivity with Cisco router,An urgent solution is requested for frequent falls of the router.
Technical Support,high,"Problem Resolution, Product Support, Software Bug, Technical Support",Problem with Dell XPS 13 9310 after update,"Dear Customer of the Tech Online Store, I would like to report a problem with my Dell XPS 13 9310. After a recent Windows update I have problems with flickering the screen. This problem makes my laptop difficult to use. Please tell me the next steps to resolve this problem. Thank you, <name>"
Product Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Ticket Notification Problem,"Dear Customer Service, We encounter problems with the ticket notification system in Jira Software 8.20. E-mails are not sent to the assigned team members. This affects our project deadlines. Could you please investigate and resolve this problem as soon as possible? Cordially, <name> Account number: <acc_num> Phone number: <tel_num>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Urgent: React app crashes,"Dear Customer Service, My JavaScript React app crashes immediately upon startup and displays an empty page. I subscribed to your JavaScript React Apps development utility. This problem is urgent and requires immediate attention. My account number is <acc_num>. Please help me solve this problem immediately. Sincerely, <name> <tel_num>"
Technical Support,high,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Error Code E5: HP DeskJet Printer 3755,The customer is experiencing paper jam errors when starting a print job.
Technical Support,low,"Performance Tuning, Problem Resolution, Technical Support, Urgent Issue",Performance Optimization Request for Ticket System,"Dear Customer Support,<br><br>We are in need of performance optimization for our existing ticket system along with guidance on efficient server load distribution. The issues are affecting our IT Consulting Service and need urgent attention.<br><br>Thank you for your assistance.<br><br>Best regards,<br><name>"
Technical Support,high,"Hardware Failure, System Crash, Technical Support, Urgent Issue",Dell XPS 13 9310 Boot Issue,"{""name"" has reported that their Dell XPS 13 9310 has stopped booting and shows a blue screen error following a Windows 10 update. The issue seems critical and needs immediate attention. Could you please assist in resolving this matter as soon as possible? Thank you for your support. Contact at <tel_num> or via email for further details.}"
Product Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Touch-Sensitivity Screen Problems on Surface Pro 7,"Dear Customer Support from Tech Online Store, I am facing touch-sensitive screen sensitivity issues on my Microsoft Surface Pro 7, particularly when using the device with the highlighted keyboard. I tried to fix the problem with some basic steps, without success. Can you help me solve this problem? My account number is <acc_num>. You can contact me by <tel_num> or answer this email. Thank you, <name>"
Billing and Payments,medium,"Billing Issue, Customer Service, Payment Processing, Problem Resolution",Billing Issue,"Dear Customer Support, I encountered a billing issue while purchasing a new subscription to Adobe Photoshop 2024 via your online payment portal. My account was charged incorrectly. Please assist in rectifying this issue. You can reach me at <tel_num>. Best regards, <name>"
Customer Service,medium,"Audio Issue, IT Support, Technical Support, Urgent Issue",Frequent audio dropouts during video conferences,"Dear IT services support team, I am experiencing frequent audio dropouts during my video conferences despite having stable network conditions. This issue persists specifically with Zoom version 5.11.0. My account number is <acc_num>. Could you please assist in resolving this ongoing problem? Feel free to contact me at any time on <tel_num>. Your urgent attention to this matter would be highly appreciated. Thank you, <name>."
Technical Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Monitor problem,"Hello support team, my Dell XPS 13 9310 is not recognizing an external monitor. I have tried to solve the graphics drivers, but the problem persists. Please advise on the next steps to solve this problem. Thank you, <name>"
Technical Support,high,"Hardware Failure, IT Support, Problem Resolution, Technical Support",Stromproblem mit Dell XPS 13 9310,"Dear Tech Online Store Support Team, I have power problems with my Dell XPS 13 9310. Although it is fully charged, the laptop cannot be turned on. Please give me instructions on how to proceed. Thank you, <name>."
Customer Service,medium,"Problem Resolution, Product Support, Software Bug, Technical Support",Non-receptive touch screen problem on Surface Pro 7,"Dear Customer Support, I am experiencing a non-receptive touch screen on my Microsoft Surface Pro 7. Despite multiple reboots, the problem persists. Your assistance in solving this problem would be greatly appreciated. Thank you."
Product Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent: Sudden shutdown problem,"Dear Tech Online Store Support, I have sudden shutdown problems with my Dell XPS 13 9310. This problem needs to be solved urgently. Please advise me on the next steps. Thank you, <name>"
Product Support,medium,"Hardware Failure, Product Support, Software Bug, Technical Support",Problems with touchscreen sensitivity at Surface Pro 7,"Dear Customer of the Tech Online Store, I have problems with the touchscreen sensitivity of my Microsoft Surface Pro 7, especially if I use the device without the disconnected keyboard. I have tried basic troubleshooting, but without success. Can you please help me with this? My account number is <acc_num>. You can reach me under <tel_num> or reply to this email. Thank you, <name>"
Product Support,medium,"Hardware Failure, Product Support, Technical Support, Urgent Issue",MacBook Air Batterieproblem,"Dear Customer Service, I have a problem with the battery of my MacBook Air M1. It does not charge over 50% even after I have plugged it in overnight. Please help me solve this problem immediately. My account number is <acc_num>. Thank you."
Technical Support,high,"Hardware Failure, Product Support, Software Bug, Technical Support",Keyboard Connection Issue,"Dear Customer Support,

I am writing to inform you about a persistent issue I am facing with my Microsoft Surface Pro 7. Following the latest firmware update, the detachable keyboard is repeatedly failing to connect properly. This problem has been ongoing and significantly impacts my productivity. I have tried all recommended troubleshooting steps, but nothing seems to resolve the issue. Could you please provide guidance on how to address this problem? My account number is <acc_num>. You can reach me at <tel_num> or via email for any further information. Your prompt assistance would be greatly appreciated.

Best regards,
<name>"
Product Support,low,"IT Support, Problem Resolution, Software Bug, Technical Support",Help with problems with installing Windows 10 update required,"Hello Tech Online Store Support Team, I have problems while trying to install Windows 10 updates on my Microsoft Surface Pro 7. The installation process fails every time and I have tried several methods to solve the problem but without success. Could you please provide support to solve this problem? My account number is <acc_num>. You can contact me at <tel_num> for more details. Thank you for your support. Sincerely, <name>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Immediate Assistance Required: Jira Software Issues,"Dear Customer Support, 

I am writing to report issues with our project tracking and Scrum boards after a recent system update. We are using Jira Software 8.20. Project tracking and Scrum boards have failed. This problem needs an immediate solution. Please look into the matter urgently.

Thank you,

<name>
Account Number: <acc_num>
Phone: <tel_num>"
Customer Service,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Overheating problem with Dell XPS 13 9310 after use,"Dear support team, I recently bought a Dell XPS 13 9310 and I am facing overheating problems after about an hour of use. Please help solve this problem. Waiting for your quick answer. Carefully, <name>."
Customer Service,low,"Hardware Failure, Product Support, Software Bug, Technical Support",Surface Pro 7 Touchscreen Issues,"Dear Customer Support, I am experiencing intermittent touchscreen freezes on my Microsoft Surface Pro 7. This issue is impacting the usability of the device. Could you please assist in resolving this matter? Thank you in advance. Best, <name>"
Technical Support,high,"IT Support, Service Disruption, Technical Support, Urgent Issue",Urgent problem of EC2,"Dear IT Services team, I am experiencing problems with an unresponsive EC2 instance. I require urgent assistance with my AWS Management Service environment. Please contact me as soon as possible. Greetings, <name>."
Product Support,high,"Hardware Failure, Problem Resolution, Software Bug, Technical Support",Dell XPS 13 9310: Touchpad Problems and Overheating,"Dear Customer Service, I own a Dell XPS 13 9310 and have been experiencing touchpad and overheating problems since a recent system update. These problems significantly impact my workflow. Could you provide me with guidance or a solution? I would really appreciate your help to resolve this matter. Thank you. Please, <name>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Urgent Issue: Jira Software 8.20 Failing to Initialize,"Hello Customer Support Team,

We have encountered an urgent issue where Jira Software 8.20 is failing to initialize, severely disrupting our project management activities. We need immediate assistance to resolve this. Please address this as soon as possible.

Thank you,
<name>"
Technical Support,medium,"Customer Service, Hardware Failure, Product Support, Technical Support",Persistent problems with wireless printing,"Dear Customer Service, I am experiencing persistent wireless connection problems with my new HP DeskJet 3755. Despite following carefully the initial instructions provided, I cannot establish a reliable connection for wireless printing. This problem is causing a significant inconvenience. Could you help me resolve this issue as soon as possible? My account number is <acc_num>. I would very much appreciate your prompt response. Thank you, <name> Contact: <tel_num>"
Technical Support,high,"Network Issue, Problem Resolution, Product Support, Technical Support",Printer can't connect to Wi-Fi,The HP DeskJet 3755 is unable to connect.
IT Support,high,"Problem Resolution, Product Support, Service Notification, Technical Support",Application for Change of Work Flows,"Dear support team, We are making the transition to a new project management method and we need our workflows in Jira Software 8.20 to be reorganized. Please help us as soon as possible. Thank you, <name> <acc_num>"
Customer Service,high,"Hardware Failure, Product Support, Refund Request, Returns and Exchanges",MacBook Air M1 faulty,"Dear Customer Support, I recently received a defective MacBook Air M1 from your store. The screen blinks constantly and the keyboard does not work. My account number is <acc_num>. Please inform how to proceed with the exchange or refund. Thank you, <name>"
Product Support,medium,"Customer Service, Problem Resolution, Software Bug, Technical Support",Common faults in macOS with Adobe Photoshop 2024,"Hello Customer Service, I am experiencing frequent faults in macOS when trying to apply layer effects on Adobe Photoshop 2024. This problem is seriously hindering my design work. Could you please offer assistance in resolving this issue promptly? Thank you, <name>. Contact: <tel_num>."
Technical Support,medium,"Problem Resolution, Product Support, Software Bug, Technical Support",Needed Help,"Hello, I recently bought a new MacBook Air M1 from the Tech Online Store. I have difficulties with the installation process. Could you please help me with this problem? Thank you! Sincerely, <name>."
Customer Service,low,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Poor battery life on MacBook Air M1,"Dear online store support, I am writing to report a significant decrease in the battery life of my MacBook Air M1 after the last update. I would like to request assistance to solve this problem. My account number is <acc_num>. Thank you, <name>, <tel_num>"
IT Support,high,"IT Support, Problem Resolution, Technical Support, Urgent Issue",Emergency Assistance Necessary for AWS,"Dear IT Services Support Team, My name is <name>, and I am in urgent need of assistance in relation to AWS Management Services. Currently, we are facing challenges to optimize our AWS costs and we need help to implement a new scalable infrastructure. This is critically affecting our operations and requires immediate attention. Could you please accelerate this request and provide the necessary support as quickly as possible? If necessary, I can be contacted by <tel_num> for more details. Waiting for your quick assistance."
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Immediate Support Requires : Problems of Jira Software,"Dear Customer Service, I am writing to report problems with our project tracking and Scrum tables after a recent system update. We use Jira Software 8.20. Project tracking and Scrum tables have failed. This problem requires an immediate solution. Please consider this problem urgently. Thank you, <name> Account Number: <acc_num> Phone: <tel_num>"
IT Support,low,"Account Assistance, IT Support, Problem Resolution, Technical Guidance",New Email Server Configuration Request,"Dear IT Services Support Time, Our customer, <name>, requested the addition of a new email server to your existing network. We need your experience for configuration and integration testing. Thank you, <name> Account Number: <acc_num> Phone: <tel_num>"
Customer Service,low,"Problem Resolution, Product Support, Software Bug, Technical Support",Poor battery life on MacBook Air M1,"Dear Tech Online Store Support, I'm writing to report a significant decline in the battery life of my MacBook Air M1 after the last update. I'd like to ask for support in resolving this issue. My account number is <acc_num>. Thank you, <name>, <tel_num>"
Customer Service,medium,"Audio Issue, IT Support, Technical Support, Video Conference",Common audio dropouts during video conferencing,"Dear IT service support team, I experience frequent audio dropouts during my video conferencing, although the network conditions are stable. This problem occurs specifically with the zoom version 5.11.0. My account number is <acc_num>. Could you please help solve this persistent problem? You can contact me at any time at <tel_num>. Your urgent attention to this issue would be greatly appreciated. Thank you, <name>."
IT Support,medium,"Performance Tuning, Product Support, Service Recovery, Technical Support",Assistance and Optimization for AWS Infrastructure,"Dear Customer Support, we need expert help to configure and optimize our AWS Management Service offer for a customer. Our goal is to improve performance and reduce costs. We look forward to your early assistance."
IT Support,high,"General Inquiry, Problem Resolution, Software Bug, Technical Support",Request for Change of Work Flows,"Dear Support Time, We are making the transition to a new project management method and we need our workflows on Jira Software 8.20 to be reorganized. Please help us as quickly as possible. Thank you, <name> <acc_num>"
Billing and Payments,medium,"Account Assistance, Billing Issue, Customer Service, Payment Processing",Assistance with Payment Update,"Dear Customer Support, I need assistance to update the payment method of my Microsoft Office 365 subscription to my account. My current payment method is outdated and I can't make any changes to my subscription. My account number is <acc_num>. Please direct me on the steps needed to update this information as soon as possible. Thank you, <name>"
Customer Service,low,"IT Support, Product Support, Technical Guidance, Technical Support",Support needed for Microsoft Office 365 configuration,"Dear support team, I am requesting help setting up email accounts and shared folders using Microsoft Office 365 in a new domain. Please provide guidance to complete this process successfully. Thank you. Carefully, <name>"
Product Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",MacBook Air Battery Problem,"Dear Customer Support, I am facing a problem with the battery of my MacBook Air M1. It does not charge more than 50%, even after leaving it connected overnight. Please help solve this problem quickly. My account number is <acc_num>. Thank you."
Customer Service,low,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Problems after the update: MySQL 8.0.30 Database,"Dear Customer Service, after a recent patch update, I have problems with the MySQL 8.0.30 database. Specifically, I cannot establish secure connections to the database. This problem occurred immediately after the update. I have already taken various troubleshooting steps, but without success. Your urgent support for solving this issue would be highly appreciated as it affects our processes. Please advise me on the next steps. Thank you, <Name> < Account number: <acc_num>> <Telephone: <tel_num>"
Technical Support,low,"IT Support, Problem Resolution, Service Disruption, Technical Support",Cloud Monitoring Problem,"Dear Support, our client is facing cloud resource monitoring problems at AWS Management Service. Please help us solve this quickly. Carefully, <name>, <company>. Contact: <tel_num>."
Customer Service,low,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Assistance Required for Persistent Paper Jam Issues with Canon Printer,"Dear Customer Support,

I am writing to report persistent paper jam issues with my Canon PIXMA MG3620 printer. The problem occurs during light checkout documentation printing. I have ensured that the paper is not overloaded, and I have also checked for any visible obstructions. Despite these efforts, the issue persists. Could you please provide me with further assistance or suggest any additional troubleshooting steps? My printer's serial number is <acc_num>.

Thank you for your prompt attention to this matter.

Best regards,
<name>
<tel_num>"
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Urgent: PyCharm 2024.2 Debugger Crashing,PyCharm 2024.2 crashes frequently during debugging Python projects.
Billing and Payments,medium,"Account Assistance, Billing Issue, Customer Service, Refund Request",Billing discrepancy in the AWS Management Service,"Dear Customer Support, I am writing to report a billing discrepancy in my AWS Management Service account and allege incorrect charges. Please check the billing transactions for the <acc_num> account and process a refund if applicable. Your prompt attention to this matter would be appreciated. Thank you. Carefully, <name>"
Technical Support,high,"Hardware Failure, IT Support, Problem Resolution, Technical Support",Urgent: Router troubleshooting required,"Dear Customer of the Tech Online Store, My Cisco Router ISR4331 cannot be turned on despite proper connection. I need assistance in troubleshooting as soon as possible. Please tell me the next steps to solve this problem. My account number is <acc_num>. You can reach me under <tel_num> if further details are needed. Thank you, <name>"
Technical Support,high,"Login Issue, Software Bug, Technical Support, Urgent Issue",Urgent support required for access problems with Jira software,"Dear Customer Service, After the latest update, users cannot access the project management features in Jira Software. We urgently need your help to solve this problem. We use Jira Software version 8.20. Please handle this request as soon as possible to minimize interruptions. Thank you, <name>"
IT Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent: Hardware error on Dell XPS 13 9310,"Dear IT Services, our Dell XPS 13 9310 has occasional screen flickering and intermittent wireless connection issues. Please tell us the next steps to resolve these issues. Sincerely, <name>, <company name>, <email_address>, <phone_number>. Thank you."
Billing and Payments,medium,"Account Assistance, Billing Issue, Customer Service, Payment Processing",Request for billing fees for Adobe Photoshop 2024,"Dear Customer Service Team, I recently purchased a license for Adobe Photoshop 2024. However, I see unexpected fees on my billing. Could you please provide more detailed information or clarify these fees? Thank you very much, <name> <email>"
Product Support,medium,"Hardware Failure, Product Support, Technical Guidance, Technical Support",Help needed for Surface Pro 7 setup,"Hello Tech Online Store Support, Could you help me set up the removable keyboard and configure the touchscreen features on my Microsoft Surface Pro 7? I have problems with both features. Thank you for your support. Sincerely, <name>"
Technical Support,medium,"Hardware Failure, Product Support, Returns and Exchanges, Technical Support",Immediate Help Needed: Netgear Switch GS108 Issue,"Dear Tech Online Store Support Team,

I am experiencing an issue with the Netgear Switch GS108 I recently purchased. After initial use, the device is now unresponsive and not powering on. I rely on this switch for my home network, so your prompt assistance would be greatly appreciated. Please advise on the next steps to resolve this issue or initiate a return process.

Thank you for your support.

Best regards,
<name>"
Technical Support,medium,"IT Support, Network Issue, Technical Support, Urgent Issue",Urgent: Immediate support required for the Cisco router ISR4331 Restart loop problem that affects the network connection,Continuous connection losses have been observed on the Cisco router ISR4331 after constant restarts. Urgent troubleshooting is required.
Customer Service,high,"Product Replacement, Product Support, Refund Request, Returns and Exchanges",Defektes MacBook Air M1,"Dear Customer Service, I recently received a broken MacBook Air M1 from your store. The screen flickers constantly, and the keyboard is not working. My account number is <acc_num>. Please tell me how to proceed with a replacement or a refund. Thank you, <name>"
IT Support,high,"IT Support, Problem Resolution, Technical Support, Urgent Issue",Urgent Configuration Change,"Dear IT Services Customer Support, We urgently need to change the server configuration and update our system in current IT solutions consulting projects. This is of high priority due to urgent requirements. The affected product is IT Consulting Service. Thank you, <name>."
Technical Support,high,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Problems with the MacBook Air M1 recently purchased,"Dear Tech Online Store Support, I recently purchased a MacBook Air M1, but I encounter problems. The keyboard is sometimes non-reactive and the battery life is disappointingly short. Can you help me solve these problems? Received under Order #<acc_num>. Please contact me at <tel_num>. Thank you. Thank you. Thank you, <name>."
Product Support,medium,"Performance Tuning, Problem Resolution, Software Bug, Technical Support",Crash fréquents sur macOS avec Adobe Photoshop 2024,"Hello Customer Service, I encounter frequent crashes on macOS when I try to apply layer effects in Adobe Photoshop 2024. This problem seriously hinders my design work. Could you please provide assistance to solve this problem quickly? <name>. Contact: <tel_num>."
Billing and Payments,medium,"Billing Issue, Customer Service, Problem Resolution, Refund Request",Invoicing Error Query,"Dear Customer Service, I have noticed an overdraft in my recent invoice by the subscription of IntelliJ IDEA 2024.1. Please provide a detailed explanation and correct this error. My account number is <acc_num>. Thank you for your help."
Technical Support,high,"Hardware Failure, Product Support, Software Bug, Technical Support",Problem on Surface Pro 7,"Dear Customer Support, the touch-sensitive screen of my Microsoft Surface Pro 7 remains unanswered after a system reboot and firmware update. Could you please provide guidance on how to solve this problem? <name> <tel_num> <acc_num>"
Billing and Payments,medium,"Billing Issue, Customer Service, Payment Processing, Product Support",Request for billing fees for Adobe Photoshop 2024,"Dear customer support team, I recently purchased a license for Adobe Photoshop 2024. However, I see unexpected fees on my billing statement. Could you please provide more details or clarify these fees? Thank you, <name> <email>"
Customer Service,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent: Energy problem with Dell XPS,"Hi Tech Online Store Customer Support, I'm experiencing energy problems with my Dell XPS 13 9310. The laptop is not charging when it's connected. Can you provide me with urgent assistance to solve this problem? Thank you, <name>"
Product Support,high,"Feature Request, Problem Resolution, Product Support, Technical Support",Request to Upgrade Jira,"Dear Customer Support,

I am writing to request an upgrade to Jira Software version 8.20 to leverage new Confluence integrations for improved project management. The additional features are essential for enhancing our team's productivity.

Thank you for your assistance.

Best regards,
<name>"
Customer Service,high,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Immediate Hardware Diagnostics for Dell XPS 13 9310,"Hello, I am experiencing screen flickering on my Dell XPS 13 9310. Could you please arrange immediate hardware diagnostics and repair for this issue? My account number is <acc_num>. Thank you for your prompt assistance. Sincerely, <name>"
Technical Support,high,"Critical Failure, Performance Tuning, Product Support, Technical Support",Critical Performance Problems with Dell XPS 13 9310,"Dear customer service, my Dell XPS 13 9310 laptop is experiencing critical performance problems and is often blocked despite having enough memory and storage. Please help me solve this problem as soon as possible. Thank you, <name>."
Technical Support,medium,"General Inquiry, Problem Resolution, Software Bug, Technical Support",Ticket Attachment Problem,He needs resolution in Jira.
Technical Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent Assistance Requirement,"Dear Customer Support, My Microsoft Surface Pro 7 touch screen does not respond and the device plants frequently. I need immediate technical support to solve these problems. My name is <name>, the contact number is <tel_num>. Thank you. Thank you. Thank you, <name>."
Product Support,medium,"Hardware Failure, Problem Resolution, Product Support, Technical Support",MacBook Air Battery Issue,"Dear Customer Support, I'm experiencing an issue with my MacBook Air M1 battery. It won't charge past 50%, even after leaving it plugged in overnight. Please assist in resolving this problem promptly. My account number is <acc_num>. Thank you."
IT Support,high,"IT Support, System Maintenance, Technical Support, Urgent Issue",Request for High Priority Configuration Support,"Dear Support Team, I have a high priority ticket asking for configuration support for the Cisco ISR4331 router in our business environment. Immediate assistance is needed to ensure minimal downtime. Please refer to the details provided under the ticket number <ticket_number>. Contact me at <tel_num> or by email at <email>. Thank you, <name>"
Customer Service,low,"Account Assistance, Product Support, System Maintenance, Technical Support",Help needed to set up Microsoft Office 365,"Dear support team, I ask for help in setting up email accounts and shared folders with Microsoft Office 365 on a new domain. Please give instructions to complete this process successfully. Thank you. Sincerely, <name>"
Billing and Payments,medium,"Account Assistance, Billing Issue, Customer Service, Refund Request",Billing Discrepancy on AWS Management Service,"Dear Customer Support, 

I am writing to report a billing discrepancy on my AWS Management Service account and allege incorrect charges. Please verify the billing transactions for account <acc_num>, and process a refund if applicable. Your prompt attention to this matter would be appreciated. 

Thank you.

Sincerely, 
<name>"
IT Support,high,"Product Support, Software Bug, Technical Support, Urgent Issue",Urgent client request: upgrade of Jira Software 8.20,"Dear customer support team, Our customer, <name>, has urgently requested that we upgrade our project management tool to Jira Software 8.20. They require this upgrade to access the enhanced features of the ticketing system provided in this version. The product currently concerned is Jira Software used for project management. Please give priority to this request and assist us in the steps needed to update the software. If you need more details or have any questions, please contact me directly at <tel_num>. Thank you for your quick attention to this matter."
Technical Support,high,"Hardware Failure, Problem Resolution, Product Support, Technical Support",Urgent: screen blink problem with Dell XPS 13 9310,"Dear Customer Service, I am experiencing a problem with my Dell XPS 13 9310, where the screen blinks continuously. This problem is seriously affecting my work and I need an immediate resolution. Please advise me on how this problem can be solved as soon as possible. My account number is <acc_num>. Thank you, <name>"
Product Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Urgent: Sudden Shutdown Issue,"Dear Tech Online Store Support, I am experiencing sudden shutdown issues with my Dell XPS 13 9310. This incident needs urgent resolution. Please advise on next steps. Thank you, <name>"
Customer Service,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Original: Dell XPS Power Issue,"Hello Tech Online Store Customer Support,

I am experiencing power issues with my Dell XPS 13 9310. The laptop is failing to charge when plugged in. Can you please provide urgent assistance to resolve this issue?

Thank you,
<name>"
